Regione,ASL,Città,CAP,Indirizzo,dug,civico,Farmacie,"Data Adesione al
protocollo"
080 - Emilia Romagna,104 - MODENA,Mirandola,41037,Via Tabacchi 49,Via Tabacchi,49,Pico Snc di Malavasi Baschieri Gozzi E Gallini,2021-08-23T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Novellara,42017,Corso Garibaldi 20,Corso Garibaldi,20,Antica,2021-08-16T00:00:00Z
080 - Emilia Romagna,109 - FERRARA,Bondeno,44012,Via De Amicis 22,Via De Amicis,22,Beata Vergine Addolorata di Mb Farmasicura S.N.C. della Dott.ssa Elisabetta Bosi e Figlie,2021-08-10T00:00:00Z
080 - Emilia Romagna,104 - MODENA,Mirandola,41037,Via Punta 1,Via Punta,1,del Borghetto S.A.S.,2021-08-09T00:00:00Z
050 - Veneto,506 - AZIENDA ULSS N. 6 EUGANEA,Galzignano Terme,35030,Via Roma 56,Via Roma,56,Farmacia Boschi S.N.C. di Anna Maria Boschi e C.,2021-08-25T00:00:00Z
130 - Abruzzo,202 - ASL 2 LANCIANO- VASTO-CHIETI,Francavilla al Mare,66023,Via Nazionale Adriatica 93,Via Nazionale Adriatica,93,Farmacia Bruno di Alessandro Bruno E C. S.A.S.,2021-08-09T00:00:00Z
050 - Veneto,502 - AZIENDA ULSS N. 2 MARCA TREVIGIANA,Maserada sul Piave,31052,Via Matteotti 3,Via Matteotti,3,Farmacia Crepet,2021-09-01T00:00:00Z
070 - Liguria,103 - GENOVESE,Genova,16143,Via P Giacometti 34R,Via P Giacometti,34r,Farmacia dell'aquila S.R.L.,2021-08-13T00:00:00Z
130 - Abruzzo,201 - ASL 1 AVEZZANO-SULMONA- L'AQUILA,Ortucchio,67050,P.Zza D. Spera 1,P.Zza D. Spera,1,Farmacia De Marco Sas del Dr. Massimo De Marco e C.,2021-08-09T00:00:00Z
050 - Veneto,507 - AZIENDA ULSS N. 7 PEDEMONTANA,Conco,36062,Piazza San Marco 23,Piazza San Marco,23,Farmacia Federici di Federici Monica,2021-08-11T00:00:00Z
130 - Abruzzo,204 - TERAMO,Teramo,64100,Piazza Verdi 18,Piazza Verdi,18,Farmacia Lucangeli S.N.C.,2021-08-06T00:00:00Z
080 - Emilia Romagna,101 - PIACENZA,Rottofreno,29010,Via Emilia Pavese Est 29/a,Via Emilia Pavese Est,29a,Farmacia Zangrandi Mauro e C. S.A.S.,2021-08-09T00:00:00Z
100 - Umbria,202 - AUSL UMBRIA N.2,Gualdo Cattaneo,06035,Via G. Marconi 6/c Gualdo Cattaneo,Via G. Marconi,6c,Pontini Marco,2021-08-29T00:00:00Z
080 - Emilia Romagna,109 - FERRARA,Bondeno,44012,Piazza Garibaldi 71,Piazza Garibaldi,71,Benea Snc di Benea Bruno e C,2021-08-09T00:00:00Z
070 - Liguria,103 - GENOVESE,Genova,16127,Largo San Francesco Da Paola 31r,Largo San Francesco Da Paola,31r,della Marina di a Siciliano,2021-08-06T00:00:00Z
050 - Veneto,506 - AZIENDA ULSS N. 6 EUGANEA,Gazzo Padovano,35010,Piazza Iv Novembre 48,Piazza Iv Novembre,48,Farmacia Bordignon Antonella,2021-08-25T00:00:00Z
050 - Veneto,502 - AZIENDA ULSS N. 2 MARCA TREVIGIANA,Meduna di Livenza,31040,P.Zza Umberto Primo 9-10,P.Zza Umberto Primo,9-10,Farmacia Brotto,2021-09-03T00:00:00Z
050 - Veneto,509 - AZIENDA ULSS N. 9 SCALIGERA,Verona,37123,Stradone Porta Palio 2/a,Stradone Porta Palio,2a,Farmacia Castelvecchio,2021-08-09T00:00:00Z
100 - Umbria,201 - AUSL UMBRIA N.1,Gualdo Tadino,06023,Via Flaminia Km 189 110 Gualdo Tadino,Via Flaminia Km,189,Farmacia Centrale Capeci S.A.S.,2021-08-06T00:00:00Z
050 - Veneto,503 - AZIENDA ULSS N. 3 SERENISSIMA,Venezia,30122,Castello 3470,Castello,3470,Farmacia Croce di Malta Sas Dr.ssa Patrini,2021-08-10T00:00:00Z
080 - Emilia Romagna,104 - MODENA,Mirandola,41037,Via Valli 519,Via Valli,519,Farmacia delle Valli S.A.S.,2021-08-10T00:00:00Z
050 - Veneto,508 - AZIENDA ULSS N. 8 BERICA,Cornedo Vicentino,36073,Via Cavour 32,Via Cavour,32,Farmacia Dr. Paolo Rigo S.N.C.,2021-08-10T00:00:00Z
080 - Emilia Romagna,105 - BOLOGNA,Bologna,40121,Via Marsala 1/a,Via Marsala,1a,Farmacia Internazionale di F.Cia Dichiarante S.N.C,2021-09-05T00:00:00Z
130 - Abruzzo,204 - TERAMO,Giulianova,64021,Piazza della Libertà 35 ,Piazza della Libertà,35,Farmacia Marcelli Dr. Tito,2021-08-12T00:00:00Z
080 - Emilia Romagna,101 - PIACENZA,Piacenza,29121,Via Cavour 37/d,Via Cavour,37d,Farmacia Piu',2021-08-10T00:00:00Z
130 - Abruzzo,202 - ASL 2 LANCIANO- VASTO-CHIETI,Francavilla al Mare,66023,Via Nazionale Adriatica Nord 3,Via Nazionale Adriatica Nord,3,Farmacia Russo S.A.S.Di Rossella Russo,2021-08-09T00:00:00Z
080 - Emilia Romagna,102 - PARMA,Fontanellato,43012,Viale Vaccari 16 A/b,Viale Vaccari,16,Farmacia Sanvitale S.N.C. di Franzan Dott. Giuseppe e C,2021-08-08T00:00:00Z
080 - Emilia Romagna,104 - MODENA,Modena,41121,Corso Vittorio Emanuele 78,Corso Vittorio Emanuele,78,Bernasconi,2021-08-16T00:00:00Z
080 - Emilia Romagna,101 - PIACENZA,Piacenza,29100,Via Roma 141/143,Via Roma,141,Bertuzzi,2021-08-10T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Selva di Val Gardena,39048,Via Meisules 246,Via Meisules,246,Dolomiti,2021-08-06T00:00:00Z
050 - Veneto,508 - AZIENDA ULSS N. 8 BERICA,Cornedo Vicentino,36073,Via Monte Cengio 13/a,Via Monte Cengio,13a,Farmacia Bellosi Dr. Corrado,2021-08-16T00:00:00Z
050 - Veneto,506 - AZIENDA ULSS N. 6 EUGANEA,Grantorto,35010,Via degli Alpini 3,Via degli Alpini,3,Farmacia Cicero S.R.L.,2021-08-16T00:00:00Z
190 - Sicilia,202 - ASP CALTANISSETTA,Milena,93010,Via Paganini 7,Via Paganini,7,Farmacia Ippolito di Vento Cristina Rita S.A.S.,2021-09-09T00:00:00Z
080 - Emilia Romagna,105 - BOLOGNA,Bologna,40131,Via Marco Polo 22/a,Via Marco Polo,22a,Farmacia Marco Polo del Dott. Giovanni Biagietti S.N.C.,2021-08-16T00:00:00Z
050 - Veneto,509 - AZIENDA ULSS N. 9 SCALIGERA,Verona,37123,Piazza Corrubbio 1,Piazza Corrubbio,1,Farmacia S Zeno Snc di Sembenini Fabio e C.,2021-08-10T00:00:00Z
080 - Emilia Romagna,109 - FERRARA,Bondeno,44012,Piazza Garibaldi 38,Piazza Garibaldi,38,Pasti S.N.C.,2021-08-19T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Poviglio,42028,Piazzale della Vittoria 5,Piazzale della Vittoria,5,S Stefano,2021-08-09T00:00:00Z
100 - Umbria,201 - AUSL UMBRIA N.1,Gubbio,06024,Viale Leonardo Da Vinci 50,Viale Leonardo Da Vinci,50,Antica Farmacia Ceccarelli S.A.S. Di Ceccarelli Ma,2021-08-09T00:00:00Z
080 - Emilia Romagna,104 - MODENA,Modena,41126,Via Vignolese 1263,Via Vignolese,1263,della Bona S N C,2021-08-09T00:00:00Z
130 - Abruzzo,201 - ASL 1 AVEZZANO-SULMONA- L'AQUILA,Pescasseroli,67032,Piazza Vittorio Emanuele 12,Piazza Vittorio Emanuele,12,del Parco S.N.C.,2021-08-06T00:00:00Z
050 - Veneto,502 - AZIENDA ULSS N. 2 MARCA TREVIGIANA,Mogliano Veneto,31021,Via G Marconi 18,Via G Marconi,18,Farmacia al Terraglio Dr. Alessandro Bortolot,2021-08-09T00:00:00Z
050 - Veneto,505 - AZIENDA ULSS N. 5 POLESANA,Ramodipalo di Lendinara,45020,Via Centro 18,Via Centro,18,Farmacia Arduin Braga S.N.C.,2021-08-07T00:00:00Z
"060 - Friuli Venezia
Giulia",206 - AZIENDA SANITARIA UNIVERSITARIA FRIULI CENTRALE (ASU FC),Tavagnacco,33010,Piazza Indipendenza Feletto Umberto2,Piazza Indipendenza,2,Farmacia Comuzzi,2021-08-19T00:00:00Z
080 - Emilia Romagna,105 - BOLOGNA,Bologna,40122,Via Marconi 45,Via Marconi,45,Farmacia del Porto della Dott..ssa Tassi Elisa,2021-08-24T00:00:00Z
080 - Emilia Romagna,102 - PARMA,Fornovo di Taro,43045,Via Nazionale 82,Via Nazionale,82,Farmacia del Taro del Dott Vincenzo Munafo' e C S N C,2021-08-09T00:00:00Z
130 - Abruzzo,202 - ASL 2 LANCIANO- VASTO-CHIETI,San Salvo,66050,Via Leone Magno 1d/e,Via Leone Magno,1d/e,Farmacia Leone Magno S.N.C.,2021-08-06T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Quattro Castella,42020,Via De Gasperi 1/a,Via De Gasperi,1a,Rovani,2021-08-09T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Ventasso,42030,P.Zza F. Laghi 3 ,P.Zza F. Laghi,3,Comunale Ramiseto,2021-08-08T00:00:00Z
050 - Veneto,502 - AZIENDA ULSS N. 2 MARCA TREVIGIANA,Mogliano Veneto,31021,Via Matteotti 29,Via Matteotti,29,Farmacia ai Gemelli D'oro S.A.S.,2021-08-06T00:00:00Z
050 - Veneto,503 - AZIENDA ULSS N. 3 SERENISSIMA,Spinea,30038,Via Roma 152,Via Roma,152,Farmacia Glf Sas del Dott. Raul Flamigni,2021-08-09T00:00:00Z
100 - Umbria,201 - AUSL UMBRIA N.1,Gubbio,06024,Via Perugina 151/b Gubbio,Via Perugina,151b,Farmacia Luconi Dott. Mario S.N.C.,2021-08-09T00:00:00Z
080 - Emilia Romagna,109 - FERRARA,Bondeno,44017,Viale Passardi 116 ,Viale Passardi,116,Farmacia Magni e Boccasanta S.N.C. Delle Dott.Sse,2021-08-10T00:00:00Z
050 - Veneto,506 - AZIENDA ULSS N. 6 EUGANEA,Limena,35010,Via Roma 25,Via Roma,25,Farmacia Marzolla,2021-09-03T00:00:00Z
080 - Emilia Romagna,101 - PIACENZA,Piacenza,29121,Piazza Cavalli 29,Piazza Cavalli,29,Farmacia Navilli Snc di Maestri G. E Palotta E.L.,2021-08-09T00:00:00Z
050 - Veneto,508 - AZIENDA ULSS N. 8 BERICA,Creazzo,36051,Vle Italia 96,Vle Italia,96,Farmacia Nogara Sas di Nogara Dr. Marco,2021-08-13T00:00:00Z
050 - Veneto,509 - AZIENDA ULSS N. 9 SCALIGERA,Verona,37139,Via Stanga 4,Via Stanga,4,Farmacia S Massimo S.R.L.,2021-08-07T00:00:00Z
080 - Emilia Romagna,102 - PARMA,Parma,43100,Strada di Baganzola 193/a,Strada di Baganzola,193a,Farmacia Zanetti,2021-08-09T00:00:00Z
080 - Emilia Romagna,105 - BOLOGNA,Bologna,40139,Via Emilia Levante 29,Via Emilia Levante,29,Pontevecchio S.N.C.,2021-08-09T00:00:00Z
080 - Emilia Romagna,101 - PIACENZA,Vigolzone,29020,Via Roma 103,Via Roma,103,Bongiorni,2021-08-09T00:00:00Z
100 - Umbria,201 - AUSL UMBRIA N.1,Gubbio,06024,Piazza 40 Martiri 14 Gubbio,Piazza,40,Farmacia Comunale Gubbio Cultura E Multiservizi S.,2021-08-06T00:00:00Z
130 - Abruzzo,204 - TERAMO,Campli,64017,Via Mirabilii 1/c ,Via Mirabilii,1c,Farmacia Mascitti S.R.L.,2021-09-08T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Reggio Nell'emilia,42122,Via Emilia Ospizio 37,Via Emilia Ospizio,37,Farmacia Pecchini Dott. Francesco S.N.C.,2021-08-09T00:00:00Z
050 - Veneto,501 - AZIENDA ULSS N. 1 DOLOMITI,Borgo Valbelluna,32026,Via D.A. Fabris 1 Loc. Villa Di Villa,Via D.A. Fabris,1,Farmacia al Castello dei Dr. Arrigoni Dr. Zampol D'or,2021-08-10T00:00:00Z
100 - Umbria,201 - AUSL UMBRIA N.1,S  Giustino,06013,Viale della Stazione 109 Selci Lama,Viale della Stazione,109,Cristini Claudio,2021-08-06T00:00:00Z
050 - Veneto,506 - AZIENDA ULSS N. 6 EUGANEA,Lozzo Atestino,35034,Via Roma 22,Via Roma,22,Farmacia Athestina S.R.L.,2021-08-24T00:00:00Z
080 - Emilia Romagna,109 - FERRARA,Cento,44042,Via Provenzali 10,Via Provenzali,10,Farmacia Cantelli,2021-08-09T00:00:00Z
080 - Emilia Romagna,104 - MODENA,Modena,41122,Via Dello Sport 50/24,Via Dello Sport,50,Farmacia Comunale I Portali,2021-08-06T00:00:00Z
130 - Abruzzo,201 - ASL 1 AVEZZANO-SULMONA- L'AQUILA,Roccacasale,67030,S.S. 17 Km 91,S.S.,91,Farmacia di Bernardo della Dott.ssa Adriana Vesi,2021-08-07T00:00:00Z
080 - Emilia Romagna,101 - PIACENZA,Ottone,29026,Piazza della Vittoria 40,Piazza della Vittoria,40,Farmacia di Ottone di Cristina Gazzola,2021-08-10T00:00:00Z
050 - Veneto,508 - AZIENDA ULSS N. 8 BERICA,Dueville,36031,Piazza Monza 21/22,Piazza Monza,21,Farmacia Dueville S.R.L.,2021-08-09T00:00:00Z
080 - Emilia Romagna,105 - BOLOGNA,Bologna,40121,Via Don Minzoni 1 - 6,Via Don Minzoni,6,Farmacia S.Anna S.R.L.,2021-08-09T00:00:00Z
050 - Veneto,509 - AZIENDA ULSS N. 9 SCALIGERA,Verona,37135,Via Centro 13,Via Centro,13,Farmacia S Teresa,2021-08-09T00:00:00Z
050 - Veneto,502 - AZIENDA ULSS N. 2 MARCA TREVIGIANA,Montebelluna,31044,Corso Mazzini 114,Corso Mazzini,114,Farmacie Tre Sas Sede Di Montebelluna,2021-08-06T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Reggio Nell'emilia,42124,Viale Regina Elena 12/2,Viale Regina Elena,12/2,Forti del Dr. Forti Umberto e C. S.N.C.,2021-08-09T00:00:00Z
080 - Emilia Romagna,104 - MODENA,Modena,41122,Via Ciro Menotti 370,Via Ciro Menotti,370,Comunale Crocetta,2021-08-06T00:00:00Z
050 - Veneto,506 - AZIENDA ULSS N. 6 EUGANEA,Maserà di Padova,35020,Via Conselvana 69,Via Conselvana,69,Farmacia Creazzo,2021-08-23T00:00:00Z
130 - Abruzzo,202 - ASL 2 LANCIANO- VASTO-CHIETI,Chieti,66100,Via G.Verdi 15,Via G.Verdi,15,Farmacia di Palma Dr. Giuseppe Franco,2021-08-06T00:00:00Z
130 - Abruzzo,204 - TERAMO,Arsita,64031,Viale S. Francesco 24,Viale S. Francesco,24,Farmacia Dott. O. Pomilio,2021-08-07T00:00:00Z
100 - Umbria,201 - AUSL UMBRIA N.1,Magione,06063,Corso Marchesi 10,Corso Marchesi,10,Farmacia Falini S.A.S del Dott. Mario Falini,2021-08-08T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Reggio Nell'emilia,42123,Via Armstrong 2/f Fogliano,Via Armstrong,2f,Farmacia Fogliano,2021-08-09T00:00:00Z
050 - Veneto,509 - AZIENDA ULSS N. 9 SCALIGERA,Verona,37135,Via Centro 53,Via Centro,53,Farmacia Roma,2021-08-09T00:00:00Z
050 - Veneto,503 - AZIENDA ULSS N. 3 SERENISSIMA,Venezia,30135,Santa Croce 181,Santa Croce,181,Farmacia S.Francesco Srl Semplificata,2021-08-10T00:00:00Z
070 - Liguria,103 - GENOVESE,Genova,16121,Via Fieschi 58R,Via Fieschi,58r,Fieschi Dr Corallo Fulvio,2021-08-06T00:00:00Z
080 - Emilia Romagna,105 - BOLOGNA,Bologna,40138,Via Massarenti 108,Via Massarenti,108,S Antonio S.N.C.,2021-08-31T00:00:00Z
080 - Emilia Romagna,104 - MODENA,Modena,41121,Viale Storchi 155,Viale Storchi,155,Comunale Viale Storchi,2021-08-06T00:00:00Z
080 - Emilia Romagna,101 - PIACENZA,Piacenza,29100,Via Taverna 74,Via Taverna,74,dell'ospedale,2021-08-09T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Reggio Nell'emilia,42123,Via F Lli Rosselli 11,Via F Lli Rosselli,11,Farmacia Bendinelli del Dr. Febbranti Giuseppe e C S.N.C.,2021-08-09T00:00:00Z
050 - Veneto,507 - AZIENDA ULSS N. 7 PEDEMONTANA,Enego,36052,Piazza del Popolo 16,Piazza del Popolo,16,Farmacia Clinica Gabrieli del Dr. Stefano Rossi e C. S.A.S.,2021-08-11T00:00:00Z
050 - Veneto,506 - AZIENDA ULSS N. 6 EUGANEA,Masi,35040,Via Este 26,Via Este,26,Farmacia Culatti,2021-08-07T00:00:00Z
130 - Abruzzo,204 - TERAMO,Notaresco,64024,Circonvallazione 10,Circonvallazione,10,Farmacia Mazzoni Dott. Alberto Borreca,2021-08-09T00:00:00Z
100 - Umbria,201 - AUSL UMBRIA N.1,Marsciano,06055,Piazza Carlo Marx ,Piazza Carlo Marx,,Farmacia Menconi S.N.C. Dott.ssa Emma Menconi e C.,2021-08-06T00:00:00Z
080 - Emilia Romagna,109 - FERRARA,Cento,44045,Via Renazzo 64 Fraz Renazzo,Via Renazzo,64,Farmacia Renazzo S.N.C. del Dott. Donato Paganelli,2021-08-09T00:00:00Z
190 - Sicilia,204 - ASP ENNA,Troina,94018,Via Nazionale S.,Via Nazionale S.,,Scollo Giorgio,2021-08-09T00:00:00Z
080 - Emilia Romagna,104 - MODENA,Modena,41124,Via Emilia Est 396,Via Emilia Est,396,Comunale del Pozzo,2021-08-06T00:00:00Z
050 - Veneto,501 - AZIENDA ULSS N. 1 DOLOMITI,Borgo Valbelluna,32028,Via Frontin 2a Loc. Trichiana,Via Frontin,2a,Farmacia Dolomiti del Dott.Alberto Da Pian,2021-08-10T00:00:00Z
050 - Veneto,502 - AZIENDA ULSS N. 2 MARCA TREVIGIANA,Moriago della Battaglia,31010,Via Montegrappa 7/a,Via Montegrappa,7a,Farmacia Nuova Mariana Sas Di Farmacia Gava Del,2021-08-06T00:00:00Z
100 - Umbria,201 - AUSL UMBRIA N.1,Massa Martana,06056,Piazza Matteotti 15,Piazza Matteotti,15,Farmacia Paolucci S.N.C. di Tommaso E Angelica Pao,2021-08-06T00:00:00Z
050 - Veneto,507 - AZIENDA ULSS N. 7 PEDEMONTANA,Fara Vicentino,36030,Via Astico 28I,Via Astico,28i,Farmacia Pasqualini S.A.S.,2021-08-11T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Reggio Nell'emilia,42124,Via Fratelli Cervi 59/a,Via Fratelli Cervi,59a,Farmacia Pieve Modolena S.N.C.,2021-08-09T00:00:00Z
080 - Emilia Romagna,101 - PIACENZA,Fiorenzuola D'arda,29017,Corso Garibaldi 76,Corso Garibaldi,76,Farmacia Pigorini di Ghisoni D.ssa Elena,2021-08-09T00:00:00Z
130 - Abruzzo,202 - ASL 2 LANCIANO- VASTO-CHIETI,Lama dei Peligni,66010,Via Nazionale Frentana 65,Via Nazionale Frentana,65,Farmacia Tamburi Brando,2021-08-06T00:00:00Z
080 - Emilia Romagna,105 - BOLOGNA,Bologna,40124,Via Garibaldi 1,Via Garibaldi,1,S Domenico S.A.S.,2021-08-09T00:00:00Z
080 - Emilia Romagna,109 - FERRARA,Codigoro,44021,Piazza Matteotti 6,Piazza Matteotti,6,Bornazzini S.N.C. del Dott. Cesare Bornazzini e Fi,2021-08-16T00:00:00Z
050 - Veneto,505 - AZIENDA ULSS N. 5 POLESANA,Trecenta,45027,Via Matteotti 127,Via Matteotti,127,D e M di Davi' Daniele e C. S.N.C.,2021-08-07T00:00:00Z
050 - Veneto,503 - AZIENDA ULSS N. 3 SERENISSIMA,Venezia,30131,Cannaregio 3823/a,Cannaregio,3823a,Farmacia al Re D'italia S.A.S.,2021-08-10T00:00:00Z
050 - Veneto,509 - AZIENDA ULSS N. 9 SCALIGERA,Verona-cadidavid,37135,Via Belfiore Ang Via Fasoli,Via Belfiore Ang Via Fasoli,,Farmacia dei Santi,2021-08-10T00:00:00Z
080 - Emilia Romagna,102 - PARMA,Medesano,43048,Via Solferino 68/a ,Via Solferino,68a,Farmacia Denegri,2021-08-13T00:00:00Z
130 - Abruzzo,201 - ASL 1 AVEZZANO-SULMONA- L'AQUILA,Ovindoli,67046,Via Sebastiani 33,Via Sebastiani,33,Farmacia di Iorio Snc della Dott.ssa Donatella Di,2021-08-06T00:00:00Z
130 - Abruzzo,204 - TERAMO,Atri,64032,Corso E. Adriano 66,Corso E. Adriano,66,Farmacia Pepe Dott.ssa Rosanna,2021-08-07T00:00:00Z
130 - Abruzzo,202 - ASL 2 LANCIANO- VASTO-CHIETI,Lanciano,66034,Corso Trento e Trieste 36,Corso Trento e Trieste,36,Farmacia Sparvieri S.N.C,2021-08-08T00:00:00Z
080 - Emilia Romagna,101 - PIACENZA,Monticelli D'ongina,29010,Via Martiri della Libertà 16,Via Martiri della Libertà,16,Ottolini,2021-08-22T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Laives,39055,Via Brennero 35 ,Via Brennero,35,Salvaneschi,2021-08-11T00:00:00Z
050 - Veneto,502 - AZIENDA ULSS N. 2 MARCA TREVIGIANA,Motta di Livenza,31045,Via Ballarin 1,Via Ballarin,1,Antica Farmacia Alla Provvidenza,2021-08-09T00:00:00Z
080 - Emilia Romagna,105 - BOLOGNA,Bologna,40135,Via Saragozza 105,Via Saragozza,105,F.Cia San Giuseppe della Dr.ssa Palazzoli Francesca S.A.S.,2021-08-09T00:00:00Z
080 - Emilia Romagna,101 - PIACENZA,Piacenza,29121,Piazza Duomo 41,Piazza Duomo,41,Farmacia Centrale Parmigiani Daniela E Stefania S.,2021-08-19T00:00:00Z
130 - Abruzzo,201 - ASL 1 AVEZZANO-SULMONA- L'AQUILA,Campo di Giove,67030,Via Marconi 4/b,Via Marconi,4b,Farmacia Cercone Dott.ssa Virginia,2021-09-08T00:00:00Z
050 - Veneto,506 - AZIENDA ULSS N. 6 EUGANEA,Merlara,35040,Via Roma 65,Via Roma,65,Farmacia Codifava,2021-08-30T00:00:00Z
130 - Abruzzo,204 - TERAMO,Teramo,64100,Via Naz.Le 43 ,Via Naz.Le,43,Farmacia D'onofrio Sas e C,2021-08-06T00:00:00Z
050 - Veneto,501 - AZIENDA ULSS N. 1 DOLOMITI,San Vito di Cadore,32046,Corso Italia 88,Corso Italia,88,Farmacia Luppi Francesca,2021-08-10T00:00:00Z
100 - Umbria,202 - AUSL UMBRIA N.2,Montefalco,06036,Via Carducci 3 Montefalco,Via Carducci,3,Farmacia Moderna S.A.S. di Massimo Carcani Bartoli S.A.S.,2021-08-06T00:00:00Z
050 - Veneto,505 - AZIENDA ULSS N. 5 POLESANA,Rovigo,45100,Ple S Bartolomeo 28,Ple S Bartolomeo,28,Farmacia San Bortolo,2021-08-09T00:00:00Z
080 - Emilia Romagna,109 - FERRARA,Codigoro,44021,Piazza Libertà 17,Piazza Libertà,17,Farmacia Santa Rita S.N.C. dei Dottori Giovanni E,2021-08-09T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Reggio Nell'emilia,42124,Via Guglielmo Tirelli 5 Sesso,Via Guglielmo Tirelli,5,Graziosi S.A.S.,2021-08-16T00:00:00Z
050 - Veneto,508 - AZIENDA ULSS N. 8 BERICA,Grancona,36040,Via Pederiva 63/bis,Via Pederiva,63bis,Farmacia Battaglia S.N.C.,2021-08-31T00:00:00Z
080 - Emilia Romagna,101 - PIACENZA,Bettola,29021,Viale Vittoria 6,Viale Vittoria,6,Farmacia Bianchi di Bianchi Dott. Marco,2021-08-10T00:00:00Z
130 - Abruzzo,204 - TERAMO,Teramo,64100,Corso S. Giorgio 83,Corso S. Giorgio,83,Farmacia del Corso del Dott. Pierluigi Patroni,2021-08-23T00:00:00Z
100 - Umbria,201 - AUSL UMBRIA N.1,Montone,06014,Piazza Fortebraccio,Piazza Fortebraccio,,Farmacia di Montone Cod. Reg. 53 Di Farmacia Burelli Snc di Burelli Valeria e C,2021-08-07T00:00:00Z
050 - Veneto,501 - AZIENDA ULSS N. 1 DOLOMITI,Belluno,32100,Via Travazzoi 5,Via Travazzoi,5,Farmacia Dott Baratto Giovanni,2021-08-13T00:00:00Z
050 - Veneto,504 - AZIENDA ULSS N. 4 VENETO ORIENTALE,Portogruaro,30026,Via Fondaco 2,Via Fondaco,2,Farmacia Dr Fabroni,2021-08-10T00:00:00Z
050 - Veneto,506 - AZIENDA ULSS N. 6 EUGANEA,Mestrino,35035,Via Marco Polo 111,Via Marco Polo,111,Farmacia Foscarin Ferro S.N.C.,2021-08-09T00:00:00Z
130 - Abruzzo,202 - ASL 2 LANCIANO- VASTO-CHIETI,Lanciano,66034,Via Vittorio Veneto 40,Via Vittorio Veneto,40,Farmacia Marciani del Dr. Armando Minutolo,2021-08-06T00:00:00Z
080 - Emilia Romagna,102 - PARMA,Neviano degli Arduini,43024,Via Buca 26,Via Buca,26,Farmacia Sant'eufemia Sas di Rizzoli Dott.ssa Francesca,2021-08-13T00:00:00Z
080 - Emilia Romagna,105 - BOLOGNA,Bologna,40121,Via Ugo Bassi 25,Via Ugo Bassi,25,S Lorenzo,2021-08-16T00:00:00Z
050 - Veneto,501 - AZIENDA ULSS N. 1 DOLOMITI,San Pietro di Cadore,32040,Piazza Garibaldi 2 Loc. Mare,Piazza Garibaldi,2,Farmacia Dott.ssa Fracasso Silvia,2021-08-18T00:00:00Z
050 - Veneto,508 - AZIENDA ULSS N. 8 BERICA,Grisignano di Zocco,36040,Via Celotto 9,Via Celotto,9,Farmacia Dott.ssa Cavoli,2021-08-11T00:00:00Z
130 - Abruzzo,204 - TERAMO,Alba Adriatica,64011,Via Roma 36,Via Roma,36,Farmacia Parere S.A.S. del Dr. Parere Arnaldo e C.,2021-08-06T00:00:00Z
080 - Emilia Romagna,101 - PIACENZA,Farini,29023,Via Roma 38,Via Roma,38,Farmacia Reggi del Dott. Andrea Reggi,2021-08-09T00:00:00Z
050 - Veneto,505 - AZIENDA ULSS N. 5 POLESANA,Pontecchio Polesine,45030,Via Roma 335,Via Roma,335,Farmacia Romagnolo,2021-08-24T00:00:00Z
080 - Emilia Romagna,102 - PARMA,Noceto,43015,Via Saffi 1,Via Saffi,1,Farmacia Romanini,2021-08-13T00:00:00Z
130 - Abruzzo,201 - ASL 1 AVEZZANO-SULMONA- L'AQUILA,San Benedetto dei Marsi,67058,Via Capocroce 13,Via Capocroce,13,Farmacia S. Maria Goretti Di Mastrodicasa F. e Tri,2021-08-06T00:00:00Z
080 - Emilia Romagna,109 - FERRARA,Codigoro,44021,Via Centro 88/z Fraz Pontelagorino,Via Centro,88z,Succi,2021-08-09T00:00:00Z
050 - Veneto,501 - AZIENDA ULSS N. 1 DOLOMITI,Agordo,32021,Via Insurrezione 18c,Via Insurrezione,18c,Azienda Speciale Agordo Servizi,2021-08-10T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Bolzano .Bozen.,39100,Via S Geltrude 54/56,Via S Geltrude,54,Comunale S Geltrude,2021-08-06T00:00:00Z
080 - Emilia Romagna,105 - BOLOGNA,Bologna,40136,Via S Mamolo 25/d,Via S Mamolo,25d,F.Cia San Mamolo del Dott. P. Bettini E Della Dott.ssa C. Hyeraci S.N.C.,2021-08-16T00:00:00Z
